,playerId,name,team,position,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
221,8476234,Keith Kinkaid,N.J,G,19,54326.0,37.17,40.0,845.0,29.17,27.0,106.06,139.0,451.62,469.0,10.68,15.0,251.56,167.0,188.68,237.0,36.22,483.0,115.0,29.0,13.24,13.45,10.47,16.0,13.0,11.0,218.0,0.0,0.0
226,8474550,Antti Niemi,S.J,G,61,214074.0,165.46,155.0,3486.0,126.98,137.0,421.91,463.0,1839.79,1811.0,64.3,84.0,1014.02,811.0,767.82,936.0,157.53,1927.0,463.0,166.0,54.42,56.65,54.37,46.0,60.0,49.0,930.0,0.0,0.0
231,8468540,Dan Ellis,FLA,G,8,29188.0,16.35,19.0,420.0,14.01,7.0,51.06,57.0,221.23,221.0,7.31,8.0,124.87,107.0,93.58,106.0,16.07,243.0,53.0,11.0,6.8,6.39,3.16,10.0,5.0,4.0,113.0,0.0,0.0
236,8471715,Ondrej Pavelec,WPG,G,50,170271.0,126.45,108.0,2495.0,92.17,86.0,306.7,293.0,1345.21,1353.0,44.15,40.0,743.69,617.0,545.72,715.0,122.01,1383.0,361.0,114.0,41.53,44.56,40.37,32.0,33.0,43.0,637.0,2.0,1.0
241,8473575,Semyon Varlamov,COL,G,57,197210.0,157.82,141.0,3447.0,130.27,141.0,409.22,453.0,1801.46,1791.0,44.73,46.0,1024.68,841.0,745.31,888.0,150.79,1878.0,516.0,134.0,55.09,61.31,41.42,46.0,57.0,38.0,919.0,4.0,2.0
246,8470093,Mike McKenna,ARI,G,1,3600.0,2.75,5.0,49.0,2.22,1.0,7.07,5.0,33.16,34.0,0.75,0.0,18.43,16.0,13.51,17.0,2.65,32.0,12.0,1.0,0.92,1.36,0.47,2.0,2.0,1.0,4.0,0.0,0.0
251,8475839,Louis Domingue,ARI,G,7,18465.0,14.53,14.0,313.0,11.89,12.0,37.81,46.0,167.5,158.0,5.28,7.0,94.52,78.0,67.77,77.0,13.91,171.0,48.0,13.0,4.84,5.99,3.69,5.0,4.0,5.0,81.0,0.0,0.0
256,8470594,Marc-Andre Fleury,PIT,G,64,226499.0,165.24,146.0,3305.0,126.46,131.0,405.19,339.0,1795.99,1831.0,60.36,73.0,985.84,810.0,729.95,973.0,157.72,1846.0,455.0,169.0,52.91,55.37,56.96,44.0,46.0,56.0,835.0,6.0,3.0
261,8476844,Niklas Svedberg,BOS,G,18,53712.0,37.39,35.0,764.0,28.9,26.0,96.24,85.0,428.48,425.0,14.95,17.0,235.79,204.0,180.97,226.0,35.69,437.0,121.0,35.0,12.5,14.45,10.44,12.0,17.0,6.0,171.0,0.0,0.0
266,8475361,Jonas Gustavsson,DET,G,7,21072.0,14.54,15.0,297.0,11.45,10.0,38.65,33.0,167.18,168.0,5.41,7.0,96.86,91.0,68.11,78.0,13.97,175.0,49.0,11.0,5.01,6.0,3.53,4.0,7.0,4.0,62.0,2.0,1.0
271,8475681,Ben Scrivens,EDM,G,57,193586.0,144.24,170.0,2954.0,104.89,121.0,355.55,332.0,1554.9,1542.0,48.2,39.0,866.0,658.0,647.91,819.0,139.74,1629.0,411.0,129.0,50.95,49.61,43.68,70.0,55.0,45.0,785.0,4.0,2.0
276,8475680,Jussi Rynnas,DAL,G,2,5545.0,4.5,7.0,83.0,3.15,4.0,9.97,12.0,43.65,44.0,1.05,2.0,24.21,19.0,17.8,18.0,4.41,42.0,15.0,4.0,1.06,1.88,1.56,3.0,3.0,1.0,22.0,0.0,0.0
281,8475215,Robin Lehner,OTT,G,25,87995.0,59.23,74.0,1326.0,50.69,49.0,177.53,153.0,753.39,779.0,23.27,16.0,422.99,335.0,314.42,409.0,57.31,819.0,179.0,51.0,21.41,21.62,16.2,32.0,27.0,15.0,277.0,0.0,0.0
286,8467972,Rob Zepp,PHI,G,10,31141.0,21.84,25.0,442.0,16.58,20.0,55.63,44.0,239.94,223.0,7.9,9.0,130.61,112.0,96.43,119.0,21.2,237.0,72.0,20.0,6.94,8.64,6.26,10.0,8.0,7.0,113.0,0.0,0.0
291,8477084,Mackenzie Skapski,NYR,G,2,7145.0,4.14,1.0,69.0,2.81,3.0,9.11,15.0,40.82,45.0,2.69,1.0,23.46,13.0,17.09,26.0,3.94,39.0,15.0,4.0,1.17,1.89,1.08,0.0,1.0,0.0,11.0,0.0,0.0
296,8475883,Frederik Andersen,ANA,G,54,184680.0,125.7,123.0,2832.0,100.37,98.0,337.09,330.0,1486.86,1436.0,51.39,41.0,838.09,706.0,633.73,789.0,117.75,1605.0,366.0,114.0,43.34,43.12,39.23,45.0,39.0,39.0,747.0,4.0,2.0
301,8467950,Craig Anderson,OTT,G,35,125551.0,85.38,87.0,1971.0,72.65,68.0,253.42,285.0,1091.21,1134.0,31.87,30.0,614.31,477.0,464.44,557.0,83.28,1234.0,214.0,78.0,33.37,26.39,25.63,30.0,24.0,33.0,445.0,4.0,2.0
306,8467391,Jason LaBarbera,ANA,G,5,12448.0,6.54,9.0,178.0,6.14,8.0,21.63,20.0,91.93,99.0,4.18,2.0,50.97,42.0,42.59,48.0,6.38,109.0,16.0,6.0,2.55,1.84,2.15,3.0,2.0,4.0,47.0,0.0,0.0
